locationId,location,iso3,timeLabel,sex,ageId,total_population,angels_0-4,angels_11-17,angels_18+,angels_5-10,angels_Total,angels_color
136,Cayman Islands,CYM,2023,Both sexes,188,73038,0.0,0.0,4.0,0.0,5.0,1.6094379124341003
140,Central African Republic,CAF,2023,Both sexes,188,5152420,63.0,67.0,148.0,66.0,343.0,5.8377304471659395
144,Sri Lanka,LKA,2023,Both sexes,188,22971617,109.0,168.0,1116.0,138.0,1531.0,7.333676395657684
148,Chad,TCD,2023,Both sexes,188,19319064,236.0,219.0,598.0,234.0,1288.0,7.160845906664299
152,Chile,CHL,2023,Both sexes,188,19658835,65.0,114.0,1035.0,96.0,1311.0,7.1785454837637
156,China,CHN,2023,Both sexes,188,1422584932,3869.0,8043.0,75786.0,7140.0,94839.0,11.459935996049522
158,"China, Taiwan Province of China",TWN,2023,Both sexes,188,23317145,52.0,92.0,1328.0,83.0,1554.0,7.348587530927593
170,Colombia,COL,2023,Both sexes,188,52321152,237.0,357.0,2612.0,282.0,3488.0,8.15708378502887
174,Comoros,COM,2023,Both sexes,188,850387,8.0,9.0,32.0,8.0,57.0,4.04305126783455
175,Mayotte,MYT,2023,Both sexes,188,316016,3.0,4.0,10.0,4.0,21.0,3.044522437723423
178,Congo,COG,2023,Both sexes,188,6182885,59.0,69.0,217.0,67.0,412.0,6.021023349349527
180,Dem. Rep. of the Congo,COD,2023,Both sexes,188,105789732,1285.0,1157.0,3346.0,1265.0,7053.0,8.86120833720818
184,Cook Islands,COK,2023,Both sexes,188,14222,0.0,0.0,1.0,0.0,1.0,0.0
188,Costa Rica,CRI,2023,Both sexes,188,5105526,19.0,34.0,260.0,28.0,340.0,5.8289456176102075
191,Croatia,HRV,2023,Both sexes,188,3896024,11.0,19.0,215.0,14.0,260.0,5.560681631015528
192,Cuba,CUB,2023,Both sexes,188,11019930,34.0,56.0,598.0,47.0,735.0,6.5998704992128365
196,Cyprus,CYP,2023,Both sexes,188,1344976,5.0,6.0,73.0,6.0,90.0,4.499809670330265
203,Czechia,CZE,2023,Both sexes,188,10809716,36.0,54.0,584.0,45.0,721.0,6.580639137284949
204,Benin,BEN,2023,Both sexes,188,14111034,145.0,153.0,485.0,158.0,941.0,6.846943139585379
208,Denmark,DNK,2023,Both sexes,188,5948136,21.0,32.0,320.0,25.0,397.0,5.983936280687191
212,Dominica,DMA,2023,Both sexes,188,66510,0.0,0.0,3.0,0.0,4.0,1.3862943611198906
214,Dominican Republic,DOM,2023,Both sexes,188,11331266,67.0,93.0,513.0,82.0,755.0,6.626717749249025
218,Ecuador,ECU,2023,Both sexes,188,17980083,94.0,150.0,836.0,120.0,1199.0,7.089243155027514
222,El Salvador,SLV,2023,Both sexes,188,6309624,33.0,52.0,292.0,43.0,421.0,6.042632833682381
226,Equatorial Guinea,GNQ,2023,Both sexes,188,1847549,17.0,18.0,70.0,18.0,123.0,4.812184355372417
231,Ethiopia,ETH,2023,Both sexes,188,128691692,1271.0,1391.0,4615.0,1302.0,8579.0,9.057072635572965
232,Eritrea,ERI,2023,Both sexes,188,3470390,31.0,41.0,125.0,35.0,231.0,5.442417710521793
233,Estonia,EST,2023,Both sexes,188,1367196,4.0,7.0,74.0,6.0,91.0,4.51085950651685
234,Faroe Islands,FRO,2023,Both sexes,188,54714,0.0,0.0,3.0,0.0,4.0,1.3862943611198906
238,Falkland Islands (Malvinas),FLK,2023,Both sexes,188,3476,0.0,0.0,0.0,0.0,0.0,-inf
242,Fiji,FJI,2023,Both sexes,188,924146,6.0,8.0,41.0,7.0,62.0,4.127134385045092
246,Finland,FIN,2023,Both sexes,188,5601186,16.0,30.0,305.0,23.0,373.0,5.921578419643816
250,France,FRA,2023,Both sexes,188,66438822,226.0,382.0,3521.0,300.0,4429.0,8.395929103923198
254,French Guiana,GUF,2023,Both sexes,188,303402,2.0,3.0,13.0,2.0,20.0,2.995732273553991
258,French Polynesia,PYF,2023,Both sexes,188,281118,1.0,2.0,14.0,2.0,19.0,2.9444389791664403
262,Djibouti,DJI,2023,Both sexes,188,1152944,8.0,11.0,50.0,9.0,77.0,4.343805421853684
266,Gabon,GAB,2023,Both sexes,188,2484788,22.0,24.0,96.0,24.0,166.0,5.111987788356544
268,Georgia,GEO,2023,Both sexes,188,3807492,16.0,23.0,191.0,23.0,254.0,5.537334267018537
270,Gambia,GMB,2023,Both sexes,188,2697846,26.0,30.0,94.0,30.0,180.0,5.19295685089021
275,State of Palestine,PSE,2023,Both sexes,188,5409202,48.0,57.0,200.0,56.0,361.0,5.8888779583328805
276,Germany,DEU,2023,Both sexes,188,84548231,261.0,356.0,4699.0,321.0,5637.0,8.637107288081575
288,Ghana,GHA,2023,Both sexes,188,33787914,282.0,344.0,1297.0,330.0,2253.0,7.720017940432244
292,Gibraltar,GIB,2023,Both sexes,188,38470,0.0,0.0,2.0,0.0,3.0,1.0986122886681098
296,Kiribati,KIR,2023,Both sexes,188,132530,1.0,1.0,5.0,1.0,9.0,2.1972245773362196
300,Greece,GRC,2023,Both sexes,188,10242908,27.0,50.0,569.0,38.0,683.0,6.52649485957079
304,Greenland,GRL,2023,Both sexes,188,55922,0.0,0.0,3.0,0.0,4.0,1.3862943611198906
308,Grenada,GRD,2023,Both sexes,188,117081,0.0,1.0,6.0,1.0,8.0,2.0794415416798357
312,Guadeloupe,GLP,2023,Both sexes,188,376516,1.0,2.0,20.0,2.0,25.0,3.2188758248682006
316,Guam,GUM,2023,Both sexes,188,166506,1.0,1.0,8.0,1.0,11.0,2.3978952727983707
320,Guatemala,GTM,2023,Both sexes,188,18124838,125.0,179.0,744.0,160.0,1208.0,7.0967213784947605
324,Guinea,GIN,2023,Both sexes,188,14405468,146.0,158.0,500.0,156.0,960.0,6.866933284461882
328,Guyana,GUY,2023,Both sexes,188,826353,6.0,7.0,36.0,7.0,55.0,4.007333185232471
332,Haiti,HTI,2023,Both sexes,188,11637398,82.0,111.0,484.0,98.0,776.0,6.654152520183219
340,Honduras,HND,2023,Both sexes,188,10644851,76.0,100.0,447.0,87.0,710.0,6.565264970035361
344,"China, Hong Kong SAR",HKG,2023,Both sexes,188,7442734,15.0,28.0,431.0,22.0,496.0,6.206575926724928
348,Hungary,HUN,2023,Both sexes,188,9686464,31.0,45.0,532.0,38.0,646.0,6.470799503782602
352,Iceland,ISL,2023,Both sexes,188,387558,2.0,2.0,20.0,2.0,26.0,3.258096538021482
356,India,IND,2023,Both sexes,188,1438069596,7644.0,11825.0,66762.0,9639.0,95871.0,11.470758816808338
360,Indonesia,IDN,2023,Both sexes,188,281190066,1490.0,2232.0,13133.0,1891.0,18746.0,9.838735675306431
364,Iran (Islamic Republic of),IRN,2023,Both sexes,188,90608707,413.0,618.0,4407.0,603.0,6041.0,8.706324840138741
368,Iraq,IRQ,2023,Both sexes,188,45074049,371.0,480.0,1699.0,455.0,3005.0,8.008032846969307
372,Ireland,IRL,2023,Both sexes,188,5196630,20.0,34.0,266.0,27.0,346.0,5.846438775057725
376,Israel,ISR,2023,Both sexes,188,9256314,58.0,73.0,417.0,69.0,617.0,6.424869023905388
380,Italy,ITA,2023,Both sexes,188,59499453,138.0,263.0,3370.0,196.0,3967.0,8.28576542051433
384,Côte d'Ivoire,CIV,2023,Both sexes,188,31165654,306.0,340.0,1084.0,348.0,2078.0,7.639161171659173
388,Jamaica,JAM,2023,Both sexes,188,2839786,11.0,20.0,144.0,14.0,189.0,5.241747015059643
392,Japan,JPN,2023,Both sexes,188,124370946,276.0,515.0,7101.0,400.0,8291.0,9.022925868116218
398,Kazakhstan,KAZ,2023,Both sexes,188,20330104,142.0,163.0,891.0,160.0,1355.0,7.2115567333138015
400,Jordan,JOR,2023,Both sexes,188,11439214,78.0,111.0,479.0,95.0,763.0,6.637258031284457
404,Kenya,KEN,2023,Both sexes,188,55339002,469.0,629.0,2047.0,545.0,3689.0,8.213110697596676
408,Dem. People's Rep. of Korea,PRK,2023,Both sexes,188,26418204,114.0,152.0,1361.0,134.0,1761.0,7.473637108496206
410,Republic of Korea,KOR,2023,Both sexes,188,51748739,91.0,214.0,2980.0,165.0,3450.0,8.146129510025405
414,Kuwait,KWT,2023,Both sexes,188,4838782,18.0,28.0,251.0,25.0,323.0,5.777652323222656
417,Kyrgyzstan,KGZ,2023,Both sexes,188,7073516,53.0,63.0,293.0,63.0,472.0,6.156978985585555
418,Lao People's Dem. Republic,LAO,2023,Both sexes,188,7664992,53.0,70.0,325.0,63.0,511.0,6.236369590203704
422,Lebanon,LBN,2023,Both sexes,188,5773492,30.0,51.0,261.0,43.0,385.0,5.953243334287785
426,Lesotho,LSO,2023,Both sexes,188,2311472,18.0,24.0,91.0,22.0,154.0,5.0369526024136295
428,Latvia,LVA,2023,Both sexes,188,1882396,6.0,9.0,102.0,9.0,125.0,4.8283137373023015
430,Liberia,LBR,2023,Both sexes,188,5493031,52.0,63.0,194.0,58.0,366.0,5.902633333401366
434,Libya,LBY,2023,Both sexes,188,7305659,43.0,65.0,324.0,56.0,487.0,6.18826412308259
438,Liechtenstein,LIE,2023,Both sexes,188,39598,0.0,0.0,2.0,0.0,3.0,1.0986122886681098
440,Lithuania,LTU,2023,Both sexes,188,2854099,9.0,13.0,156.0,12.0,190.0,5.247024072160486
442,Luxembourg,LUX,2023,Both sexes,188,665098,2.0,3.0,36.0,3.0,44.0,3.784189633918261
446,"China, Macao SAR",MAC,2023,Both sexes,188,713912,2.0,3.0,40.0,3.0,48.0,3.871201010907891
